time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.11219716308e-08,4.33453553132e-07,10.0006866549,0.000418144185883,6.28276992085,0.0,1.20547027805e-05,3.58774781225e-05,0.022888048637,0.0181595389912,-0.0267184018725,0.0,413.2814964216887,410.9202755211471,410.5100397283539,412.1179133426238
0.12000000000000001,1.57360547627e-05,1.55385351128e-05,10.0054267504,0.00122517423401,6.2808788515,0.0,0.000692813938596,0.000568391332263,0.13510746244,0.00180326259147,-0.0434463414712,0.0,441.5639407003342,440.18164070496533,441.3278925340894,439.975943481494
0.18,0.000133494800646,8.38224578018e-05,10.0233943194,0.0010206987027,6.27864586952,0.0,0.00355800505899,0.00170497269653,0.463735445122,-0.016677063587,-0.0270102298274,0.0,503.73265470054156,504.91908055309625,504.9409047095757,503.60625082744355
0.23999999999999996,0.000454282652609,0.000204588852473,10.0557757081,6.28304409342,6.2772190035,0.0,0.00730097089914,0.00220260817712,0.61557336561,-0.0253708813853,-0.0180000877918,0.0,452.5269678550341,453.251492952324,454.0603274388043,453.3624815251673
0.3,0.00105546597863,0.000325829869572,10.1015097697,6.28173779716,6.27615898734,0.0,0.0128770503206,0.00165521388401,0.908707995179,-0.0154018683985,-0.0170088588156,0.0,494.20454785313945,494.2776978653547,495.05912177625015,495.7920279914872
0.36000000000000004,0.00200409095532,0.000385694871835,10.1627578791,6.28041778698,6.27481365504,0.0,0.0188809722042,0.000211834265605,1.13269944342,-0.0404041386302,-0.0363718203749,0.0,476.9608988419344,475.47994445816647,475.67813005892907,473.7597960856448
0.4200000000000001,0.00333235359675,0.000328730337945,10.2353194596,6.2791317143,6.27250879246,0.0,0.0256391450908,-0.00229772044607,1.28585705575,0.00171626822803,-0.0428479089908,0.0,455.8644137615211,455.346001712052,452.19780715602667,455.57753160941087
0.48000000000000015,0.00512187997828,0.000100244834863,10.3173337495,6.2787464501,6.26992515125,0.0,0.0342960636883,-0.00532258458469,1.44775806547,-0.0323889791632,-0.043489549691,0.0,457.0412507299814,456.98914268562464,459.8709539615927,457.1617831317556
0.5400000000000001,0.0074687978011,-0.000320122070279,10.4075741457,6.27652499702,6.26703981917,0.0,0.0442155318759,-0.00890288583597,1.56010302521,-0.0484386955641,-0.0593910027404,0.0,442.5637812514969,441.2516259908398,444.53938125505397,443.22168841633646
0.6000000000000002,0.0104808071696,-0.00100814583817,10.5048831936,6.27346069079,6.26334304487,0.0,0.0565641274305,-0.0143440505682,1.6833489519,-0.0569378148811,-0.066472437423,0.0,446.85677451543853,446.27646365551084,447.06001772096255,446.3653480362102
0.6600000000000003,0.014349450882,-0.00210780430694,10.611293518,6.26981847671,6.259363747,0.0,0.0728384178209,-0.0227084753911,1.86337131201,-0.069558675289,-0.0660218600588,0.0,463.9603035431546,463.992606759868,465.27029900803984,464.27871244074595
0.7200000000000003,0.0192573275865,-0.00377989357479,10.7273253201,6.26549128324,6.25539736734,0.0,0.0911797572676,-0.0334828005035,2.00410064328,-0.0778061310069,-0.0662757160526,0.0,453.40885432834085,453.3853096401592,453.0902258866079,452.42277390369964
0.7800000000000004,0.0255087849319,-0.00629661832798,10.8572694284,6.2607803991,6.25111647651,0.0,0.117738389149,-0.051029178238,2.32674067548,-0.0799701057816,-0.0841486752049,0.0,507.83159517927623,506.5446797582604,505.71159021612254,505.5515965559038
0.8400000000000004,0.0333739208073,-0.00992342290614,11.0034808121,6.25618749339,6.24638564123,0.0,0.145000684138,-0.0704140667438,2.54647312984,-0.0704621409878,-0.0699340051867,0.0,478.2896056480286,479.3663647382302,477.9489530040279,478.6688057705405
0.9000000000000005,0.0429535323651,-0.0147992770146,11.162039059,6.25159062854,6.24304534501,0.0,0.174727609702,-0.0926064921252,2.73832772803,-0.0932294545473,-0.0364817680512,0.0,469.9757869037953,472.55913700411327,472.419528436872,470.6562677616297
0.9600000000000005,0.0544866002479,-0.0211999082212,11.3345430116,6.24589353863,6.24041717436,0.0,0.209978140948,-0.121444699667,3.01108479932,-0.0986365319364,-0.0654152022483,0.0,497.04660060447816,494.9206007837047,495.6372791396194,495.233072238822
1.0200000000000005,0.0679618786522,-0.0292598605654,11.5176829574,6.23963852975,6.23648627581,0.0,0.239578029703,-0.147812330469,3.09331312784,-0.118881395948,-0.0657151748342,0.0,440.34026489787254,440.312231873799,441.2158839607504,439.5313925546285
1.0800000000000005,0.0834043821153,-0.0391369745836,11.7081050037,6.23316761771,6.23240675292,0.0,0.275594723149,-0.182150994683,3.25358064699,-0.0918761064276,-0.0729835610427,0.0,464.7331860443339,464.15983617787856,464.54205412329827,466.644776274463
1.1400000000000006,0.100956736353,-0.0510709354379,11.9053342688,6.22769257171,6.22775563755,0.0,0.309909429089,-0.216169522255,3.32047381356,-0.0900293957397,-0.0886197591506,0.0,438.15662316015283,436.84970284565355,436.6975485666901,436.84441385818286
1.2000000000000006,0.120565677531,-0.0650561848376,12.1048522977,6.22222550383,6.22262239116,0.0,0.34418198811,-0.250483258543,3.33003129844,-0.093386925027,-0.0800400885206,0.0,418.1803261922485,418.92049422649313,419.51317038741365,419.213994900886
1.2600000000000007,0.142231753646,-0.0811074029636,12.3034778309,6.21750178019,6.21789744032,0.0,0.37841391558,-0.284974772475,3.29086826334,-0.0591787102019,-0.0762863283171,0.0,402.9552097600922,403.28876365413026,400.4558212665306,403.5493758679844
